admission_id,First Name,Middle Name,Surname,Email,Address,Phone Number,Course Assigned,Date of birth,Gender,Father's Name,Mother's Name,Parent's Contact,Father's Email,Year Assigned,Reason For Dormant,Record Status,Letter status
20130106,Christopher,,Edwards,johndev@gmail.com,"London, Uk",98598940,1,7/10/2019,M,Johnny,Andy,12345455,johnny@gmail.com,1,,provisional,unconditional
20130107,Graham,,Vinitchaikul,gary@hotmail.com,"Northampton, Uk",56745334,1,7/11/2019,M,Sasha,Emmy,56765455,sahsa@hotmail.com,1,,provisional,conditional
20130113,Asad,,Cox,nikkibytes@gmail.com,"London, Uk",12345445,1,7/12/2019,F,Adam,Noelle,67785548,adam@gmail.com,1,,provisional,conditional
20130116,Andrew,,Carpenter ,betty@example.com,"Northampton, Uk",13545546,1,7/13/2019,F,Aron,Mona,89086765,aron@hotmail.com,1,,provisional,conditional
20130117,Alexander,,Begum,grant@gmail.com,"Northampton, Uk",24342345,1,7/14/2019,M,Felix,Kaitlin,57987909,felix@hotmail.com,1,,provisional,unconditional
20130119,Adam,,Stevenson,dean@example.com,"London, Uk",23345454,1,7/15/2019,F,Jeremy,Navada,67898909,Jeremy@gmail.com,1,,provisional,unconditional
20130122,Benjamin,,Corke,johndev@gmail.com,"London, Uk",98598940,1,7/10/2019,M,Johnny,Andy,12345455,johnny@gmail.com,1,,provisional,unconditional
20130124,Andrew,,Brown,gary@hotmail.com,"Northampton, Uk",56745334,1,7/11/2019,M,Sasha,Emmy,56765455,sahsa@hotmail.com,1,,provisional,conditional
20130127,David,,O'toole,nikkibytes@gmail.com,"London, Uk",12345445,1,7/12/2019,F,Adam,Noelle,67785548,adam@gmail.com,1,,provisional,conditional
20130128,Darren,,Mathoo,betty@example.com,"Northampton, Uk",13545546,1,7/13/2019,F,Aron,Mona,89086765,aron@hotmail.com,1,,provisional,conditional
20130130,Adam,,Wright,grant@gmail.com,"Northampton, Uk",24342345,1,7/14/2019,M,Felix,Kaitlin,57987909,felix@hotmail.com,1,,provisional,unconditional
20130132,Andrew,,Bonney,dean@example.com,"London, Uk",23345454,1,7/15/2019,F,Jeremy,Navada,67898909,Jeremy@gmail.com,1,,provisional,unconditional
20130133,Japhet,,Horton,johndev@gmail.com,"London, Uk",98598940,1,7/10/2019,M,Johnny,Andy,12345455,johnny@gmail.com,1,,provisional,unconditional
20130134,Anesley,,Bowers,gary@hotmail.com,"Northampton, Uk",56745334,1,7/11/2019,M,Sasha,Emmy,56765455,sahsa@hotmail.com,1,,provisional,conditional
20130136,Francisco,,Ruffell,nikkibytes@gmail.com,"London, Uk",12345445,1,7/12/2019,F,Adam,Noelle,67785548,adam@gmail.com,1,,provisional,conditional
20130137,Benjamin,,Dempster,betty@example.com,"Northampton, Uk",13545546,1,7/13/2019,F,Aron,Mona,89086765,aron@hotmail.com,1,,provisional,conditional
20130138,Daniel,,Girdlestone,grant@gmail.com,"Northampton, Uk",24342345,1,7/14/2019,M,Felix,Kaitlin,57987909,felix@hotmail.com,1,,provisional,unconditional
